Name,City,State,Enrollment,Type,Region,Adm_Rate,ACT_median,Cost,Net_Tuition,Avg_Fac_Salary,PercentFemale,PercentWhite,PercentBlack,PercentHispanic,PercentAsian,FourYearComp_Males,FourYearComp_Females,Debt_median,Salary10yr_median
Cazenovia College,Cazenovia,NY,822,Private,Mid East,0.8215,NA,49151,9748,63423,0.739526412,0.893600006,0.058200002,0.038699999,0.0139,0.541176471,0.561702128,20500,37100
Cedar Crest College,Allentown,PA,1303,Private,Mid East,0.5719,22,49741,18240,69318,0.955026455,0.883899994,0.0498,0.064099998,0.0196,0.52,0.471502591,21000,46700
Cedarville University,Cedarville,OH,3318,Private,Great Lakes,0.7936,26,38915,17091,66834,0.53368329,0.907600021,0.045900002,0.029300001,0.0166,0.516447368,0.59752322,17000,41300
CEM College-San Juan,San Juan,PR,408,Private,Outlying Territories,NA,NA,13267,4514,22203,0.679628555,0.708799973,0.140799999,0.986800003,0.0029,0.465217391,0.49486653,3667,19000
Centenary College of Louisiana,Shreveport,LA,544,Private,South East,0.5969,24,52978,12393,65502,0.514285714,0.731800003,0.201599998,0.0598,0.019,0.396226415,0.50617284,17250,44900
Centenary University,Hackettstown,NJ,1241,Private,Mid East,0.6682,20,46703,15706,67266,0.654191617,0.823000031,0.089899998,0.078299999,0.039300001,0.590909091,0.634241245,19326,45800
Central Baptist College,Conway,AR,663,Private,South East,0.6074,19,25303,9880,49032,0.460992908,0.832799988,0.1246,0.0298,0.0081,0.111111111,0.102803738,12000,35300
Central Christian College of Kansas,McPherson,KS,669,Private,Plains,NA,NA,26633,11991,33669,0.47734139,0.843600006,0.0702,0.0829,0.0137,0.319767442,0.3125,14746,31700
Central College,Pella,IA,1076,Private,Plains,0.6999,24,50547,14664,65061,0.489619377,0.950599976,0.0133,0.030999999,0.0111,0.610738255,0.683908046,23313,44700
Central Connecticut State University,New Britain,CT,9325,Public,New England,0.6724,22,21628,9228,80685,0.491322415,0.835699997,0.080200005,0.082600002,0.0222,0.434061135,0.49232159,16500,47900
Central Methodist University-College of Graduate and Extended Studies,Fayette,MO,1773,Private,Plains,0.2105,NA,18440,2723,47961,0.689956332,0.918799973,0.046599998,0.023499999,0.0074,0.374213836,0.511560694,13750,35400
Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,1147,Private,Plains,0.9336,22,37780,19447,56907,0.689956332,0.918799973,0.046599998,0.023499999,0.0074,0.374213836,0.511560694,13750,35400
Central Michigan University,Mount Pleasant,MI,16157,Public,Great Lakes,0.6884,24,23890,10701,84150,0.592287234,0.879899979,0.073600001,0.025899999,0.0141,0.462486602,0.507292077,21250,41900
Central Penn College,Summerdale,PA,1020,Private,Mid East,0.724,NA,25495,22820,48204,0.634259259,0.821600037,0.123900003,0.048400002,0.0151,0.098130841,0.108527132,12667,35300
Central State University,Wilberforce,OH,2079,Public,Great Lakes,0.5708,16,18737,3432,62568,0.54954955,0.444000015,0.494900017,0.043200002,0.015700001,0.202572347,0.24556213,9500,26100
Central Washington University,Ellensburg,WA,10529,Public,Far West,0.7816,21,22289,5949,73251,0.545890822,0.820400009,0.025899999,0.098900003,0.045,0.495934959,0.572399728,13406,46500
Central Yeshiva Tomchei Tmimim Lubavitz,Brooklyn,NY,449,Private,Mid East,1,NA,21665,6326,29007,NA,0.368100014,0.520600014,0.096300001,0.040999999,NA,NA,NA,23500
Centre College,Danville,KY,1425,Private,South East,0.7306,30,53747,18606,74943,0.470873786,0.895299988,0.069099998,0.020799999,0.0136,0.78,0.77173913,24856,45500
Chadron State College,Chadron,NE,1750,Public,Plains,NA,NA,20303,4967,65367,0.577861163,0.9075,0.0116,0.0575,0.0064,0.302919708,0.406451613,11250,38200
Chamberlain University-Arizona,Phoenix,AZ,691,Private,South West,0.2727,NA,35162,24707,62829,0.896986301,NA,NA,NA,NA,0.419871795,0.449135578,17838,58400
Chamberlain University-Florida,Jacksonville,FL,946,Private,South East,0.7857,NA,30279,24333,59823,0.896986301,NA,NA,NA,NA,0.419871795,0.449135578,17838,58400
Chamberlain University-Georgia,Atlanta,GA,1068,Private,South East,0.1875,NA,NA,24415,57222,0.896986301,NA,NA,NA,NA,0.419871795,0.449135578,17838,58400
Chamberlain University-Illinois,Addison,IL,15087,Private,Great Lakes,0.775,NA,29343,16506,69048,0.896986301,NA,NA,NA,NA,0.419871795,0.449135578,17838,58400
Chamberlain University-Missouri,St. Louis,MO,535,Private,Plains,0.4545,NA,30279,24909,58698,0.896986301,NA,NA,NA,NA,0.419871795,0.449135578,17838,58400
Chamberlain University-New Jersey,North Brunswick,NJ,677,Private,Mid East,0.4545,NA,26535,25141,62946,0.896986301,NA,NA,NA,NA,0.419871795,0.449135578,17838,NA
Chamberlain University-Ohio,Columbus,OH,557,Private,Great Lakes,0.7059,NA,33274,23485,58941,0.896986301,NA,NA,NA,NA,0.419871795,0.449135578,17838,58400
Chamberlain University-Texas,Houston,TX,823,Private,South West,0.2308,NA,37767,24395,63486,0.896986301,NA,NA,NA,NA,0.419871795,0.449135578,17838,58400
Chamberlain University-Virginia,Arlington,VA,506,Private,South East,0.1667,NA,39475,24262,62640,0.896986301,NA,NA,NA,NA,0.419871795,0.449135578,17838,58400
Chaminade University of Honolulu,Honolulu,HI,1621,Private,Far West,0.9769,22,36434,16218,74844,0.713097713,0.400099983,0.0496,0.0971,0.309599991,0.333333333,0.360493827,15000,38400
Champlain College,Burlington,VT,3686,Private,New England,0.7541,25,57607,18058,76104,0.470273166,0.933700027,0.0226,0.024400001,0.0178,0.559493671,0.603636364,17500,45400
Chapman University,Orange,CA,7026,Private,Far West,0.5356,28,69018,30672,106434,0.647474199,0.698700027,0.044699998,0.247099991,0.078899999,0.682926829,0.758832565,19000,54500
Charleston Southern University,Charleston,SC,2933,Private,South East,0.5205,23,37287,12182,53856,0.628877609,0.683700027,0.27,0.0328,0.014400001,0.322946176,0.405271829,16500,36900
Charter Oak State College,New Britain,CT,1478,Public,New England,NA,NA,NA,9554,NA,0.756569848,0.745199966,0.126899996,0.133999996,0.0279,0.504587156,0.459677419,13557,38800
Chatham University,Pittsburgh,PA,1059,Private,Mid East,0.5538,NA,50346,17678,70209,0.750883392,0.836399994,0.117700005,0.0252,0.0205,NA,NA,14500,36600
Chestnut Hill College,Philadelphia,PA,1284,Private,Mid East,0.9603,18,50541,15722,58941,0.671111111,0.583100014,0.330400009,0.062800002,0.033699999,0.637681159,0.554098361,20835,43600
Cheyney University of Pennsylvania,Cheyney,PA,466,Public,Mid East,NA,NA,24594,3374,94068,0.456989247,0.3675,0.534799995,0.078600001,0.0301,0.082568807,0.159817352,15000,29400
Chicago State University,Chicago,IL,2024,Public,Great Lakes,0.3276,18,20357,9030,68949,0.703819174,0.242399998,0.662399979,0.113500004,0.0166,0.22005571,0.245098039,25000,33800
Chowan University,Murfreesboro,NC,1394,Private,South East,0.5929,16,35629,10482,63540,0.512155592,0.602400017,0.349799995,0.0305,0.0136,0.214532872,0.312101911,10500,34300
Christian Brothers University,Memphis,TN,1535,Private,South East,0.5601,23,42224,13251,63099,0.585403727,0.595400009,0.363600006,0.0273,0.0148,0.516129032,0.488636364,19184,44200
Christopher Newport University,Newport News,VA,4853,Public,South East,0.6777,26,29407,8188,78354,0.595238095,0.751500015,0.170300007,0.040300002,0.038299999,0.6352657,0.662337662,21000,46900
